id,event_flow,event_id,resource_table,resource_id,allocation_time,release_time,allocation_datetime,release_datetime
1,Project_Lifecycle,1,Consultant,21,20272.38148700031,47430.44982493142,2020-01-15 01:52:22.889220,2020-02-02 22:30:26.989496
2,Project_Lifecycle,1,Consultant,8,20272.38148700031,47430.44982493142,2020-01-15 01:52:22.889220,2020-02-02 22:30:26.989496
3,Project_Lifecycle,2,Consultant,31,47430.44982493142,72325.12059767338,2020-02-02 22:30:26.989496,2020-02-20 05:25:07.235860
4,Project_Lifecycle,2,Consultant,1,47430.44982493142,72325.12059767338,2020-02-02 22:30:26.989496,2020-02-20 05:25:07.235860
5,Project_Lifecycle,3,Consultant,42,59711.499810121495,91525.6956857093,2020-02-11 11:11:29.988607,2020-03-04 13:25:41.741143
6,Project_Lifecycle,3,Consultant,33,59711.499810121495,91525.6956857093,2020-02-11 11:11:29.988607,2020-03-04 13:25:41.741143
7,Project_Lifecycle,4,Consultant,3,72325.12059767338,108913.80007810338,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
8,Project_Lifecycle,4,Consultant,4,72325.12059767338,108913.80007810338,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
9,Project_Lifecycle,4,Consultant,5,72325.12059767338,108913.80007810338,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
10,Project_Lifecycle,4,Consultant,7,72325.12059767338,108913.80007810338,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
11,Project_Lifecycle,4,Consultant,11,72325.12059767338,108913.80007810338,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
12,Project_Lifecycle,5,Consultant,34,91525.6956857093,125956.97980764319,2020-03-04 13:25:41.741143,2020-03-28 11:16:58.788459
13,Project_Lifecycle,5,Consultant,6,91525.6956857093,125956.97980764319,2020-03-04 13:25:41.741143,2020-03-28 11:16:58.788459
14,Project_Lifecycle,6,Consultant,37,108913.80007810338,145545.58898717555,2020-03-16 15:13:48.004686,2020-04-11 01:45:35.339231
15,Project_Lifecycle,6,Consultant,13,108913.80007810338,145545.58898717555,2020-03-16 15:13:48.004686,2020-04-11 01:45:35.339231
